left_boundaries	IM_lambda00	IM_lambda01	IM_lambda11	IM_rCCR	MSMC_lambda00	MSMC_lambda01	MSMC_lambda11	MSMC_rCCR	msmc_N1	msmc_N2	naive_im_N1	naive_im_N2	im_N1	im_N2
32609.920000000002	3.19017311947e-05	3.22831858943e-05	3.45075395421e-05	0.972249372296	3.19503125e-05	3.1766e-05	3.1252087499999994e-05	1.0052149918357531	15649.299204819983	15998.931271391075	5718.016018320768	5718.016835401351	11436.032036641536	11436.033670802703
41659.6	3.50694463423e-05	3.56618507274e-05	3.92347458436e-05	0.959887986891	3.314339999999999e-05	3.3051e-05	3.3118125000000006e-05	0.9975924942868429	15085.959798934331	15097.473060446506	4923.718144359967	4923.718144077794	9847.436288719933	9847.436288155588
53201.280000000006	3.89583103179e-05	4.00767565289e-05	4.74149621374e-05	0.927989767891	3.2438824999999993e-05	3.2499874999999995e-05	3.231801250000001e-05	1.0037511482860786	15413.628576250838	15471.248425316991	5417.854186267064	5417.854186228404	10835.708372534127	10835.708372456807
67921.36	5.13852435954e-05	5.49827086311e-05	8.8314730211e-05	0.787154172374	3.0021399999999993e-05	2.9891875e-05	2.9735824999999992e-05	1.000443879380276	16654.78625247324	16814.734415473595	6221.813866405948	6221.813866393171	12443.627732811896	12443.627732786343
86695.2	0.000687507430485	-0.000805593637873	-6.33939628805e-05	-2.58156146178	2.492186249999999e-05	2.4071625e-05	2.3665675e-05	0.9908559370805735	20062.70598756414	21127.645841498288	5814.871738596352	5814.871738626358	11629.743477192704	11629.743477252716
110638.40000000001	-1.58642573042e-05	-1.41660829392e-05	-8.98257384838e-06	1.14027280599	1.6927050000000006e-05	1.709125e-05	1.70985e-05	1.004612710154575	29538.51970662341	29242.331198643158	14999.999992842448	14999.99999284069	29999.99998568489	29999.99998568138
141174.4	-5.57937159491e-06	-5.16247771438e-06	-3.68008297036e-06	1.11507166605	1.31716125e-05	1.3138124999999999e-05	1.3912024999999997e-05	0.9701891040300624	37960.424359583914	35940.130929896986	15000.000000000004	15000.000000000004	30000.000000000004	30000.000000000004
180120.0	-2.76145140229e-06	-2.58965321449e-06	-1.93926846652e-06	1.10181133391	1.31716125e-05	1.4246e-05	1.3548874999999998e-05	0.958624576278315	30915.962684433045	36903.43294184942	15000.000000000004	15000.000000000004	30000.000000000004	30000.000000000004
229790.4	-1.20841986503e-06	-1.14180849536e-06	-8.80236814982e-07	1.09334243993	1.31716125e-05	1.4246e-05	1.3425075000000001e-05	0.8190986953268798	23408.787658887148	37243.73979288756	15000.000000000004	15000.000000000004	30000.000000000004	30000.000000000004
293137.60000000003	-4.45390803669e-07	-4.22495678392e-07	-3.30819978191e-07	1.08861069252	1.31716125e-05	1.18082125e-05	1.3394125e-05	1.111048514347492	63598.222048104406	37329.79944565248	15000.000000000004	15000.000000000004	30000.000000000004	30000.000000000004
373930.4	-1.54121935495e-07	-1.46460762515e-07	-1.15507811094e-07	1.08638430565	1.31716125e-05	1.18082125e-05	1.3394125e-05	1.5264692147221222	240714.44045928319	37329.79944565248	15000.000000000004	15000.000000000004	30000.000000000004	30000.000000000004
476970.4	-4.10655006336e-08	-3.90545732835e-08	-3.08979506239e-08	1.08540023028	1.31716125e-05	1.18082125e-05	1.3394125e-05	1.5264692147221222	240714.44045928319	37329.79944565248	15000.000000000004	15000.000000000004	30000.000000000004	30000.000000000004
